L'Oréal;29.4;L’Oreal is not a cruelty-free corporation as some of their brands are sold in Mainland China where animal testing is required by law for all imported cosmetics. However 5 of L’Oreal’s brands are PETA certified cruelty-free.;Urban Decay;Not
L'Oréal;29.4;L’Oreal is not a cruelty-free corporation as some of their brands are sold in Mainland China where animal testing is required by law for all imported cosmetics. However 5 of L’Oreal’s brands are PETA certified cruelty-free.;NYX Cosmetics;Not
L'Oréal;29.4;L’Oreal is not a cruelty-free corporation as some of their brands are sold in Mainland China where animal testing is required by law for all imported cosmetics. However 5 of L’Oreal’s brands are PETA certified cruelty-free.;Pureology;Vegan
L'Oréal;29.4;L’Oreal is not a cruelty-free corporation as some of their brands are sold in Mainland China where animal testing is required by law for all imported cosmetics. However 5 of L’Oreal’s brands are PETA certified cruelty-free.;IT Cosmetics;Not
L'Oréal;29.4;L’Oreal is not a cruelty-free corporation as some of their brands are sold in Mainland China where animal testing is required by law for all imported cosmetics. However 5 of L’Oreal’s brands are PETA certified cruelty-free.;Carol’s Daughter;Not
Unilever;21.5;Unilever is not a cruelty-free corporation because some of their ingredients are tested on animals. In addition, some of Unilever’s products are also tested on animals in China where animal testing is required by law for all imported cosmetics. However 14 of Unilever’s brands are PETA certified cruelty-free. ;bio:me ;Vegan
Unilever;21.5;Unilever is not a cruelty-free corporation because some of their ingredients are tested on animals. In addition, some of Unilever’s products are also tested on animals in China where animal testing is required by law for all imported cosmetics. However 14 of Unilever’s brands are PETA certified cruelty-free. ;Dermalogica;Not
Unilever;21.5;Unilever is not a cruelty-free corporation because some of their ingredients are tested on animals. In addition, some of Unilever’s products are also tested on animals in China where animal testing is required by law for all imported cosmetics. However 14 of Unilever’s brands are PETA certified cruelty-free. ;Dove;Not
Unilever;21.5;Unilever is not a cruelty-free corporation because some of their ingredients are tested on animals. In addition, some of Unilever’s products are also tested on animals in China where animal testing is required by law for all imported cosmetics. However 14 of Unilever’s brands are PETA certified cruelty-free. ;Hourglass Cosmetics;Not
Unilever;21.5;Unilever is not a cruelty-free corporation because some of their ingredients are tested on animals. In addition, some of Unilever’s products are also tested on animals in China where animal testing is required by law for all imported cosmetics. However 14 of Unilever’s brands are PETA certified cruelty-free. ;Love Beauty & Planet;Vegan
